patent_id,inventor_id,name,location_id
9996298,fl:wi_ln:starke-3,William J. Starke,1d3ed933-16c8-11ed-9b5f-1234bde3cd05
11648850,fl:ji_ln:cho-16,Jin Kyeom Cho,3eea8bf8-16c8-11ed-9b5f-1234bde3cd05
11508592,fl:sh_ln:lin-405,Shu-Hung Lin,907f9ab3-16c8-11ed-9b5f-1234bde3cd05
12159904,fl:ts_ln:yu-50,Tsung-Hsin Yu,90eaa921-16c8-11ed-9b5f-1234bde3cd05
11762004,fl:st_ln:burstrom-1,Stefan Burström,56dd392a-16c8-11ed-9b5f-1234bde3cd05
9017573,fl:pa_ln:burrows-2,Paul E. Burrows,c1c0be6f-16c7-11ed-9b5f-1234bde3cd05
12035552,fl:mi_ln:kim-311,Minji Kim,755a2aab-16c8-11ed-9b5f-1234bde3cd05
9449703,fl:an_ln:roy-16,Anirban Roy,1811f8b9-16c8-11ed-9b5f-1234bde3cd05
10400431,fl:dr_ln:jeremic-1,Dragan Jeremic,8977a9b4-16c8-11ed-9b5f-1234bde3cd05
12036102,fl:ma_ln:rossetti-3,Massimiliano Rossetti,173178f2-16c8-11ed-9b5f-1234bde3cd05
10700946,fl:al_ln:goldner-1,Alla Goldner,1e9d679f-16c8-11ed-9b5f-1234bde3cd05
10118164,fl:fr_ln:klose-1,Frank Klose,83b01f29-16c8-11ed-9b5f-1234bde3cd05
9307912,fl:mi_ln:anson-1,Michael J. Anson,048859c0-16c8-11ed-9b5f-1234bde3cd05
11230789,fl:ki_ln:suzuki-35,Kiyoshi Suzuki,42f90495-16c8-11ed-9b5f-1234bde3cd05
9520617,fl:em_ln:cooper-4,Emanuel I. Cooper,0d40264e-16c8-11ed-9b5f-1234bde3cd05
10392588,fl:al_ln:brooker-1,Alan Thomas Brooker,21025c61-16c8-11ed-9b5f-1234bde3cd05
11574048,fl:te_ln:tang-13,Teng-Yen Tang,907f9ab3-16c8-11ed-9b5f-1234bde3cd05
10467790,fl:mo_ln:soni-3,Mohit Soni,1ad52500-16c8-11ed-9b5f-1234bde3cd05
D813187,fl:ka_ln:prevratil-1,Karyne Poissant Prevratil,4d366dfe-16c8-11ed-9b5f-1234bde3cd05
9150230,fl:jo_ln:panigot-1,Joseph E. Panigot,005d7675-16c8-11ed-9b5f-1234bde3cd05
